Company;Symbol
Nvidia;NVDA
Apple Inc.;AAPL
Microsoft;MSFT
Amazon;AMZN
Alphabet Inc. (Class A);GOOGL
Alphabet Inc. (Class C);GOOG
Meta Platforms;META
Tesla, Inc.;TSLA
Broadcom Inc.;AVGO
Walmart;WMT
ASML Holding;ASML
Micron Technology;MU
Costco;COST
Advanced Micro Devices Inc.;AMD
Palantir Technologies;PLTR
Netflix;NFLX
Cisco;CSCO
Lam Research;LRCX
Applied Materials;AMAT
Intel;INTC
T-Mobile US;TMUS
Linde plc;LIN
PepsiCo;PEP
Texas Instruments;TXN
KLA Corporation;KLAC
Amgen;AMGN
Intuitive Surgical;ISRG
Gilead Sciences;GILD
Shopify;SHOP
Applovin Corp;APP
Booking Holdings;BKNG
Qualcomm;QCOM
Analog Devices;ADI
PDD Holdings;PDD
Honeywell;HON
Intuit;INTU
Palo Alto Networks;PANW
Adobe Inc.;ADBE
Vertex Pharmaceuticals;VRTX
CrowdStrike;CRWD
Arm Holdings;ARM
MercadoLibre;MELI
Comcast;CMCSA
Starbucks;SBUX
Constellation Energy;CEG
ADP;ADP
Synopsys;SNPS
DoorDash;DASH
Seagate Technology Holdings;STX
Marriott International;MAR
Western Digital;WDC
O'Reilly Automotive;ORLY
Cadence Design Systems;CDNS
Monster Beverage;MNST
Airbnb;ABNB
Regeneron Pharmaceuticals;REGN
Cintas;CTAS
Mondelez International;MDLZ
CSX Corporation;CSX
Warner Bros. Discovery;WBD
Marvell Technology;MRVL
Paccar;PCAR
American Electric Power;AEP
Ross Stores;ROST
Fortinet;FTNT
NXP Semiconductors;NXPI
Baker Hughes;BKR
Autodesk;ADSK
Monolithic Power Systems;MPWR
Idexx Laboratories;IDXX
Electronic Arts;EA
Fastenal;FAST
PayPal;PYPL
Thomson Reuters Corporation;TRI
Ferrovial SE;FER
Workday, Inc.;WDAY
Diamondback Energy;FANG
Datadog;DDOG
Exelon;EXC
Xcel Energy;XEL
Alnylam Pharmaceuticals;ALNY
Coca-Cola Europacific Partners;CCEP
Take-Two Interactive;TTWO
Microchip Technology;MCHP
MicroStrategy Inc.;MSTR
Cognizant;CTSH
Roper Technologies;ROP
Copart;CPRT
Axon Enterprise Inc.;AXON
Keurig Dr Pepper;KDP
Paychex;PAYX
GE HealthCare;GEHC
Old Dominion Freight Line;ODFL
Insmed Incorporated;INSM
Zscaler;ZS
Atlassian;TEAM
Verisk;VRSK
DexCom;DXCM
Kraft Heinz;KHC
Charter Communications;CHTR
CoStar Group;CSGP
